article_id	verdict	hypothesis	review_basis
03dff146d5be613b3cf2266b2de166a9	K	T1b	LGU acts on collapsed Taal Lake fish demand
a2a7358c9d282462845dc4ba1fc044c5	D	-	hospital flooding, health infrastructure
bb67b12f3a942ae8cb7820ab31653f16	D	-	public-works budget politics
cb96b52a19f13e4db5b07bea553ff5d2	D	-	coastal cleanup
b0750b69407bafe3b43e081294f3ca2e	D	-	human-rights case, not food insecurity
712132facccbba898372c07dd024949c	D	-	academic journal paper
468362bd1adfb859897ffd62e10d801a	K	T7	flood displaces 233 families
d53a9ced0e789ec55bee44491ecc360f	K	T1b	ASF vaccination, hog supply
981f18c9f116a2a44625e441c3e8e904	K	T6	household food production as pandemic coping
131f6e5adc9ea19d966ee33dfa3f4f87	K	T1b	ASF eradication, hog supply
c587fba41ecda0e3eaf498d556cc568f	K	T1b	ASF vaccination expansion
e5ff0e48e7fe3ad4f7d546991fe098b8	K	T1b	ASF calamity declaration
edb6747c27f2be9fb30b04a663832b1d	K	T1b	ASF vaccination rollout
c3f031ab4bc6fdc3539acd03ca6ea9a3	K	T4	hog raisers struggle to recover from ASF
f6bc1bcc8898a35999298244cc80470f	K	T1b	ASF vaccination
ffcfa14995d0744b0fb2daf1d62e8297	K	T3	food packs to ASF-affected households
3700ee510063afba4e67ffc771047518	K	T1b	ASF outbreak extent
a49c6260db50ce57aac2a7fb792df217	K	T1b	ASF calamity declaration
24d347b76b7c833484a6fcc0c1a51992	K	T1b	ASF vaccine efficacy, hog deaths
7e684a6b15615d4e55b7a3aaffaeb0f0	K	T1b	ASF outbreak extent
f7282f2c28201015a1c42125e7526b7f	K	T1b	ASF calamity declaration
dd71726e0f815ea1e71ee2eeeabc6b85	D	-	construction accident casualty
b50dd74e33914f4740b4f4ddebc2d3b9	K	T4	13,000 livelihoods lost, sugar mill shutdown
661e15230a7267b13f5b0cd3d12a58f3	D	-	marine conservation
d1312346c447095b808e761a8d0e5f61	D	-	bare calamity declaration
e0184072b04d189adb869d63dee163eb	D	-	charcoal briquette livelihood, not food
dab1f4d05c88c08999bd575d987e8497	K	T2	biofortified Malusog Rice, nutrition
f0ee36da60cdecb3e1bf7f0cc15f3ff8	D	-	bare calamity declaration
f5f65bcfee48103c4fbcd22cfdd60736	K	T1b	ASF animal quarantine
e452010dfadff5a6b08b176d6ec8ea1b	D	-	culinary heritage/travel feature
a903cd7e391f575b619b15fe1a13ede8	D	-	anniversary event, geo mistag
f8a0e1906ff3807c4ce8850d2f10a5d8	K	T6	egg production down due to El Nino
24a3052b64421cae9a75916521c7b9ec	D	-	San Juan City NCR, wrong region
b970c15e0d9657ed93f654c3db716994	D	-	national relief donation listing, no CALABARZON tie
8f875c514780d04f67ba59df3e0ac5c2	D	-	bare calamity declaration
50fda1212e1c82d809cb48e2bc9a22b0	D	-	oil-spill assessment, fisheries impact not evidenced
3599b6965f09009c14267da8219f07c0	D	-	duplicate of oil-spill assessment
26e60175b1700039f5300fc30b068202	K	T7	flood evacuation of residents
29e279b928d16e427fb3727d848d98ce	D	-	4Ps human-interest profile
010b122b7f66ff9730b2982d52f3e9b2	K	T4	cash aid to pandemic-displaced workers
ff3a5e2cf552665b909ec3a129f38670	D	-	legislative budget process
101262491e17d7efe9b999e16941dd5a	K	T7	Taal calamity, relief operations for evacuees
01c74e27b15fc5b2dd5d9a741af33c6d	K	T6	P74.5M crop/livestock damage
aaccc2d247a76affc2e7e9277ba2e3dc	K	T3	NFA rice distribution to Taal-affected
b730205dd7cb4286bfbf93646b75f7f7	D	-	weather forecast
357b4bcd72215a1af71d1025582eef35	D	-	business rehabilitation loans, not food
9d0cf1bc7c9c2c0bee641e2507e14e43	K	T1b	fish kill, 343 tons tilapia/bangus
60df4c2799ebab4778a3a1a42a09666a	K	T1b	fish kill, 20+ tons tilapia
6b454224b2e9206af510a535761cfdf4	D	-	landslide narrative, casualties
d505a1ce9827eda48e9ae6dc51080d57	D	-	political visit
c6d8a9307a8bf25a83b4a12f1434ed99	D	-	Cebu article (Gov. Baricuatro), wrong region
a213c073d68f8724729b39eabdb9d1c3	K	T7	families evacuate, landslide threat
78c1437d9a3632200abbfa59b5f86eb5	D	-	crime, farmer shot
1a066cbf9e6726412293e312c0270b16	K	T1b	fisherfolk recovering from fish kill
afc6e650aa73721771513b7b4749f3ed	D	-	financial-market closure
95304016adb3d5bd2c6cf8ddadb188b7	K	T7	Taal calamity, province-wide displacement
306588437c193d0157bb4a3011bec612	K	T7	Taal calamity, province-wide displacement
0cc331a8286bf1abac5803372b680a43	K	T3	mayor appeals for food and water for evacuees
6f8956950d5b8b4ac1bb568738316910	K	T6	P577M crop/livestock damage
b924257c148918446e777f9519865890	K	T6	P577M agri damage
a2f230c2fcd6a19a521dc4ef021fcbf8	D	-	medicine price control, not food
CBMiUEFVX3lxTE1VbHFURUcyN3JUX2pnQ2VIRFBqdGNuZmlHZ3pkZWlKTEVGT2thSjdoN05hc1NTWWdrbGpDYVJfTndxZ1R0UjZiMGdCZ2dISkg4	K	T6	P577M agri damage
CBMiswFBVV95cUxOWWQ3b3Vua1RDRlEtSktweWdiTTA1OS1ISFNROUF3VmJvUHpFWTJCT09MS1BFTzNOZmVEODBxWnVfOXVJNFNwbTdkMzlKMVBaaGlWVVpCY2cyNGR2WXBrYW1NN0d6bERVdTBOMkhUc0NXOHhTc3ZJTEFWaHV3dEtzVnNkMEp6d2VlTEVINHA4UVVSbDRBbHpJbnFJd1FrdUNTek5UNTNkQkxoVnZCSkVYcVdkc9IBuAFBVV95cUxOc2RkZlZDcmJWNEprZ2R2OTVNMFNFd1lrUFBaMEVVNHhNMU9MRS1qeXUzUlNnUlQzU2hBRWd4clViQ0pKdDVNbkpuZHlpWTVVMUJnWENfeS1VelV4NVJ6OTE3TWJ0TXRSMENCUW9VZU1kdnR2Tm1ZYUU4YWZMOEFCWS1JQklLUE9Ccy1xejd5RDR1STVUeHlmUmVQTGRxeUlTZVd2ZFJ2dU1TemJpYzNpdFRnYVFHX056	K	T6	P577M crop damage
CBMinwFBVV95cUxPbmVvVWRaNTR4NnVNSEZkSlZfbzFIM2paZWtONU1qRW9CVzFxMkUtUEpQbUwxMlNfTTFTZmdmLW1YZUdPVkFWSzVTOXMwTGVOdmd3bDNYTEJaeF9IM1FKc1R4dU4xMGk2ZlBGMFc2RzdyVFVyWFQxc2Qxak1jVi1KNS0wU3Q1Q0lfeER4Zk1GNTY4UV9wV3AwcUZFVy1wU2M	K	T6	P577M agri damage
c457c79d1861ae5d1f846875184ef088	K	T6	P577M agri damage
281f8532781f3f1254338063fefcfb6d	K	T6	pineapple farm devastated by ashfall
3aaf71344ae2e8c00d72812baee00b7a	K	T1	Taal disaster to push food inflation
cee52aa55c652c46f2f904f076d6c2db	K	T6	P600M crop/livestock damage plus aid
878b196d4002810a0a208e5597f55b68	K	T3	govt loans for affected farmers/fishers
1207adf1b01a60830c12d3873520c013	K	T1	pork/chicken prices to rise as supply tightens
545c880173e95edb241b92ba5978dbb5	K	T3	aid to 11,000 Taal-affected residents
f0ff35afb3e2b1dc99e0a544b337b9a6	K	T6	P74.5M agri damage NDRRMC
01bfd81cc4b4a6aad0818fac773dd78f	K	T3	P30M DA loan aid for farmers/fishers
907c2e94f900f051e92a3d302045f13c	K	T6	P74M agri damage
86b4819ef8e093217474a975ef288418	K	T7	Cavite calamity from Taal
b40f4801910058874ccb68c69ee0f689	K	T7	Cavite calamity from Taal
2c958e487636184e45b4c2812775badc	K	T7	Cavite calamity from Taal
CBMiwwFBVV95cUxPdUFVckxkTFJFNU5CT1ZFUC1kODB5SWE3TUhPaGlKa3ZGRXo0WnFZR2VYbDIwMU1WTXhoSk5MSElMZ1QzMm1YbERXbDRIQ0dQdkNwT0ZYUHVTUFVMdWQtRXMxd04wSlU0OTR2NVIxalRjeEdqcHBvVWRPQi15OVBWWk5fQmFseFRYVTFld3pIODE3dGVucWZsOWVxY2FJbTdHa1dSTnlNbzZ4eGRLTVBUQXI2STFlYVhFRVRVRzdoV1lDYWs	K	T6	P500M+ crop/livestock damage
3aede20ad5f640e3b1f6f852ca19a62d	K	T1	Taal impact on food inflation
bd3d29cc848021c111f1df47591a5ca2	D	-	corporate CSR/rewards-donation PR
d18c042235a8c9a9ffcc1e03bd289c7d	K	T6	P3B agri damage
61d6ff5f177e221140fad39fba92c855	K	T6	P3B agri losses
83d6878e2f26daf22510e7953a7dc5ba	D	-	entertainment CSR donation
1d224d7ee0fc74c9575fbfa0c430bd31	K	T6	P3.06B agri damage, fisheries worst hit
CBMiUEFVX3lxTFBzSzlpcFU3b1Y5clZ4VUFJakpRZVBORUF3SXgzYWtHVmZvZjRMZzFnMk9zLU9qdkFFSnpDNWtyWGVCZXlGYXd1UUJVZ1JhWmNU	K	T6	P3B agri damage
bee398d8422da0292ca8a359fb64e589	K	T6	P3.06B agri losses
707171a75eaefbf1212847d5fb0f2171	K	T4	Taal steals livelihoods of fishermen and coffee growers
7ae19fc67f7e750deb144e157169093d	K	T6	P3B damage, fisheries worst hit
5e2c4ce3465f92323ec77add5d996dce	K	T4	Taal steals livelihoods
f24cd107cb501ae40860d884573562f8	K	T1b	evacuees allowed home to feed livestock at risk
8813c8a4458a25a9e75041896ca4751f	K	T6	Taal farmers recovering production
64a7cf20c78c6adec643f5473751e64c	D	-	national agri output outlook, no CALABARZON tie
f57610bb23ce3b5e74ecc89fc8e18324	D	-	opinion column on cooperatives
5803b5d7b045e601314b26dc369fbe85	D	-	corporate CSR relief PR
45f5ba37604d549e1618223c66a6c9e3	D	-	tax collections outlook
CBMirgFBVV95cUxQbGJlV19pRk1MNXB3RDJTX05BTU9hRFJ1UVFEVVktNVRySy1xUV9GX3RRN0psenNJRXFBeGRUSWoxUkdxTXR1SkVBN2tKd3V5LWtXcTdObVpWWklTRE53SFVhbXBwMUxYbndEZW9aX2ZROTVhbHVCZ0tNR3V2TlFja2V4SFluWlRlMDkxaTJnc0VhQ283S0RiOHdHelhBdGFQbHdTYV9obkNNc004U1E	D	-	farm resilience feature profile
919769465e20b33d97a568f172399bcf	K	T6	flood damage to property and livestock
CBMinAFBVV95cUxQY2VYSUN1SUxnZVpkdzVWUFpqMXh2SW1XXzdHUGRPT2ExNHdydFFEUEthNnFsdnA0V0p4ZVdWUzhyYmY2bTBnQ2VRRkN5bXcwMENWWnhlSWdtQlYzVl9WdVBNTlhad2lpUzIzUThBdjV1YTJ4NGFuT2VNTm5tV3FmT3NuQkExdVg3ZHpUaUpFcU5FRWMzbWEwb01sSkI	D	-	rice extension programme rollout, capacity building
3be422bfeb43824737fb48737eaaac00	K	T3	relief food packs to Taal-displaced families
e21f8d411356e4577f6ca98cfc764650	D	-	LGU fiscal policy on IRA
a495bc857e63cff75b7696e0c65319af	K	T3	13,500 DSWD family food packs
d319c29ac6ae70480e3a7890ad7df7d0	K	T3	8,500 family food packs delivered
CBMiUEFVX3lxTE5RclBDdWhjR3ducWF2d1Z6R2lfR0c3bHBHdERjVVRVOUlYYkdCVndBWWJjX1p2NENSUW83OWNJbzdXR0JNTEw2WU9qV2xWRDRG	K	T3	DSWD food packs to Batangas evacuees
a55993b3b1da43a53d718cb654ebfa86	K	T6	4,000 ha of crops at risk from Taal
0c6af3a5785d7a5175d3bd5c3231166c	D	-	children welfare appeal, no food/nutrition content
b51d59f020af9ec937611a2d47e5477a	D	-	national agri GDP statistics
df7cbfd65bb5b3b102f0194fd8630c54	D	-	resort marketing feature
40ddbf0d22e4d166bbd4189fbef54fb9	D	-	national campaign, conflict areas, no CALABARZON tie
c87a0ee7ab54334ed5f96125d008e9bc	D	-	Ukraine war commentary
47ec69d492728e28e43892b86c23827b	D	-	corporate plant investment announcement
2c52784687ffeef8c68d845566dfbe14	K	T8	sugar workers protest mill shutdown
32200ff70d684fd540110b7b327c071d	D	-	corporate divestment story
d4be140cef3e95b003f5013d3f57cdc5	D	-	national feeding-programme pitch, no CALABARZON tie
baeeeaf32322a41f208a016041077021	D	-	national food-stamp programme, no CALABARZON tie
c003474832abe70f64b6fe6a47fc4bff	D	-	cabinet appointment, Laurel surname mistag
64d76255d4852d24ae6692dfdbddf344	D	-	national opinion column on food inflation
e3eb50c1cbb606f5e29454d0292a1352	D	-	international rice trade, Laurel surname mistag
856f6613d76c99af08b00b8d2a2782a5	D	-	national rice SRP policy, Laurel surname mistag
21e6947eed2f3405047248baf2b026a1	D	-	WTO negotiation, no CALABARZON tie
CBMiUEFVX3lxTFBaLURTWDRxSDRqQlphcll5azBNMElBU1lIdEozUVI5aUVJMjhUZXZ5VXdDbGNlcU9RNzRWbUF1Ymx0LXFIbXV0UGI3MDNtVGxj	D	-	aspirational LGU policy statement
4e259cf3195592a74bfa69b63339ce47	D	-	national rice tariff policy
49fd8e6b05e0930fc823552d8c5bcb69	D	-	national calamity loan facility
e751d206f21694a2f26d9f48d13c343a	K	T1b	Batangas ASF vaccine release
547f1d961c8a975a840af1cb96573f4d	D	-	social-media reaction piece
1ced800595f95cdab750f1d9b5e5dd60	D	-	national palay production outlook
497923f448e62f1eec808027f98f4350	D	-	flood fatalities only
eb1878f8dcc428507b6eb1d423533431	D	-	storm fatalities only
e8df85261d7ab1767777f4aee54926bc	D	-	international rice price policy
179537df29d79ccd9cfd2559d38eb50e	D	-	storm toll and rescue operations
4b6a7d945a5e1a2571e6e61d783bdfb0	K	T7	voluntary evacuation ahead of typhoon
c06807ab19dcc4985c65ae11b8f4e206	K	T7	forced evacuations ahead of typhoon
ecaa957020605ce4ab1d21b0d65fbd70	D	-	flood-control corruption politics
e598e6df8709917082cc3cf358538a65	D	-	Metro Manila rice programme
f7ec5be3fe100be6798cc0410eb0bc5f	D	-	national budget opinion column
b65be9b7f7b8083f3250e89dcf2cb1d6	D	-	national Kadiwa retail policy
3a9c5daa67e87f7a9d9e7e36ec83a14f	D	-	national DA technical working group
8348ddfdfa3e5e61c7e223eeeda71841	D	-	national farmers group criticism
7000fd2b9f523c42efa022218f68ce6a	D	-	national NFA mandate policy
93da017dcdd8a980119dff50a0060ba8	D	-	national agri budget allocation
361344c2d3f3223a079c35616e23d6a2	D	-	Calumpit, Bulacan ayuda issue
2190a081ec769d1b625d727f01aac00e	D	-	DPWH bribery case
1f215690f75f824a94ac54a09d596144	D	-	national NFA rice auction
fab881fda083ac954257cfaf9ef8f2e1	D	-	political visit to evacuation centres
1d8316f7589ae06ebd3e440f3d1ad7cd	D	-	national onion import policy
f67b177ae9dd0814f1bef2e3f05cc3a8	D	-	national fertilizer subsidy dispute
de1647903cfff2d9ad6d1e50562df82d	D	-	national rice tariff policy
1219833381e850c03578aea76abaead1	D	-	flood-control budget dispute
8cefc01f91a73a7b8187069d76e9012e	D	-	national rice retail price advisory
bec2c5587b061ed534c3c72f1e6d8591	K	T3	1M sacks of rice pledged to unserved Batangas families
106cf34761298f01e38c9ff1c2deefc2	D	-	impeachment and flood-control politics
5e62eb30e13910f82e60b7987433c78d	D	-	agri export negotiation
488cc206c737f48fdf5d9a9cce6193e1	D	-	corruption lawsuits
CBMioAFBVV95cUxQa05KUzc4R2JNTXI1V1Zpai15cHRJa0FvNUlXa3FnMnJiZWwwREVrVFpjSnF2TDJXbWZNZXF1Q2ZGWkpMVVVWZTBaODdMdGpjQlR0blM4N253aXhPUnA4bTEyT2RwVjVXSERwNkJYYm8xRkd0YTNQMU5vWUl3cl9tQmxhZTBjVEtQbVNTVk95aTdzOGs3cWtDX3I3VGg5dGst	K	T3	LGSF rice subsidy reaching Batangueno families
2ad44347011bd075bcb5429576ae99c5	D	-	human-rights disappearance case
4f25c934b09eabba6d55fe9a8ef3d2b3	D	-	agrarian land title awards, no insecurity condition
1b93aac2aa656038e9ab0b3070d00eaa	D	-	farm family feature profile
8aedbb6caa8491f7b56034d90ff2336c	D	-	maritime rescue
88e1786dd882f681f3d98aad0f229fa8	D	-	farm business feature profile
41a19c60211ece2347c57b369911ce55	K	T1b	ASF vaccine doses for Batangas
b19a856f2e9d0b0b0182acec1944e02a	K	T1b	ASF infects 8 areas
d27da10ce3010651ab56d3b89720a852	K	T1b	ASF spreads to 8 towns
1f2eb0e0fcdf29ceb703dfd0fae0233c	K	T1b	ASF calamity declaration
2aefa8ceb00ec3078d55aa19f3659eee	K	T1b	Taal Lake fishing hours restricted
1fd8c83fa983ac20cb556bce8a4b7518	K	T3	P24M govt aid to farmers and fisherfolk
d518129cb43ea15c4c206a301c6af5d9	K	T4	LGU fuel subsidy for farmers and fishers
aa84684d6d87f1f91b8cd7148be0fb45	D	-	political ayuda controversy
93149c40cf247f87279e912ef9fe99fc	K	T1b	more barangays hit by ASF
4ede8b1146c2c849d830a114d0f181cf	K	T1b	ASF vaccine delivery
8a71976a667d670d1030dbe1e1dfb24b	K	T6	P3.06B agri damage
0b4c39197434a494075458ebb2df140e	D	-	rice smuggling legal case
2027bae9be529a9eba65a76a05c76d83	K	T1b	Taal Lake fish declared safe amid demand collapse
d10e945585f9b7e53b74a5f26f160ccd	K	T1b	BFAR says Taal Lake fish safe to eat
2ca83c6368a44166e90079fa03fbf497	D	-	landslide photo essay
85f0747df95683f9ce8bd931f9f912d0	K	T1b	first ASF case confirmed in Batangas
66861c7baca12d0037dfc22d59052321	K	T1b	ASF vaccine controlled trial
28994565ff8a9382445171ca38904e93	K	T1b	ASF vaccine trial launched
f1c04c4bbb5fc4d8f1d259520cc4d88b	K	T1b	ASF vaccine rollout
15adbd19f612b31570628aaab05bc2fe	K	T1b	first govt-controlled ASF vaccination
aa7a3c9be5cc6783a5f05a820222ce7a	K	T3	community tilapia food programme for families
24073d428ecc05d0aaaa0f0d8b8a2ded	D	-	security operation deaths probe
172ff873140bf64f578696b1816e2641	K	T1b	closed fishing season affecting fishers
e5bae3387937d399e8da795c8fd2f550	D	-	aspirational LGU productivity plan
79168029c509605b52ac314b3c780bc4	K	T3	Kadiwa subsidised rice rollout
296311a00a236d50676f463c6e5bf8d2	K	T1	pork price outlook amid ASF resurgence
fd47406b9e9d87d5040d317f467bf899	K	T1b	piggeries on ASF alert
cd3c5a2ba3b61a86c42374825146bf52	K	T4	coffee farmers seek livelihood support
a0a2e5ce08529ce4fb70b4eede566612	D	-	livestock monitoring app, capacity building
3754109cc517b9947a31c33f36377cca	K	T1b	province under calamity due to ASF
7db5545ab148e23c4c787adebf5a93ca	K	T1b	province under calamity due to ASF
6b60ecacabaaf986e3c3bf03be9694ba	K	T1b	ASF containment shortfall
87e3fafb1bcbc57f418f22a3f62bdcec	D	-	road construction project, no failure evidenced
219f49e82847de3ecc71fef945336e8a	D	-	agri finance capacity building
d796a84475cf5e713f29971586c74a74	K	T1b	ASF vaccination expansion
039d0c44d10979fe0fe890251c27a823	K	T1b	cause of fish kill identified
96433899316b2b58ac249f41733c32e5	K	T8	agrarian land dispute
8cd6ba2eff6e8ef737f9887d7c384f0c	K	T1b	piglet repopulation after ASF losses
3a2d19790737ff36bc89d528feee301d	K	T1b	ASF hog testing at outbreak epicentre
81622299d74f56ce393b488a76eb1259	D	-	farm radio station, capacity building
3a0214cdffbb653f125fb0833318cd4e	K	T1b	Taal Lake fish declared safe for consumption
364342e3654c1dcccf16edbb6c248aa7	K	T1b	six areas declared ASF-free
984b6d36020a30f1b97c1aaab11e9dfb	K	T1b	province declared ASF-free
fbc1e30d95db48e9ebdf2a8418da4340	D	-	human-interest ayuda stunt
1da9439ce8638c51418cd454153f9395	D	-	maritime rescue
2971a236c571a4a46d98d006de140eb8	K	T1b	AVAC ASF vaccine rollout extended
6e72e92238af9db46ea08a40d526020b	D	-	vague fisherfolk feature, no evidenced condition
24466b40e6b88ebd51122aa86adc4841	K	T1b	Taal Lake fish demand collapses
cfba8c366a8d684872869164141ac673	D	-	flash-flood missing persons only
6658194386b263b7e02efcd935c80318	K	T1b	ASF hog vaccination begins
8b973ef2ffafb1056fe4cf61e33f1499	K	T1b	15,212 ASF hog deaths
6551cde9f9c9d861f3fba49a7bdfa2ed	D	-	aspirational agri roadmap
42807929b59c7d648d6b085dc276c371	D	-	ecotourism feature
c871b0550163a25cbe06b4224586c4b4	K	T1b	governor eats tawilis to restore fish demand
882770493a58a20677052da7d0c0d103	K	T4	Taal Lake search hits local fishers
f0d5ae517b6fed338b908e2de3ef81b8	D	-	unverifiable_publication_date (2020 Taal-eruption subject carrying a 2024 feed stamp)
401694aede4c125a71a669d12b8d58f2	K	T3	dispute over Batangas rice distribution schedule
5b21e37419cef8b7ecc37473ddadc6d7	D	-	sales bazaar, market promotion
c0d227307d2ba19a7cc01842e650ff3c	K	T4	fisherfolk livelihood hit by sabungeros claims
26a237a5818a5a33ee0a191e5d0eb3c4	D	-	farm business feature
6eb4f4d6a59721232be50d81dea38d73	D	-	outreach and information services
89a170988b6f67e6bbed6af84eaa0a6f	K	T1b	ASF spreads to 6 areas
537a854a2b653ed786746ff931128023	K	T1b	ASF vaccine arrival timeline
42424a5183be2f0b692f3b24c373cd8e	D	-	corporate hydroponic farm opening
e97b4492c23e22e59d8927208d80824b	D	-	lifestyle farm-stay feature
75807246ed5b234adad800c1ad44bcd6	D	-	"ambiguous ""CDO"" subject, CALABARZON tie unverifiable"
6ea1fa2c89a517423fd9926fc437bd88	K	T1b	DOH warning against Taal Lake fish
7e36f88f6e39033aedd6da50aa30defb	K	T1b	sabungeros case guts fish sales
4baad78dc8c1dd681993ce6e7b8f1a26	K	T1b	BFAR orders early harvest, fish-kill risk
48ba72a7267e073b670b6f10fb456f3a	D	-	search and rescue deployment
7b909d32f2e01ceb0ae32b3a73d53da9	D	-	corporate poultry facility opening
0828c8b3653325a6f42ee970d8e9a899	D	-	farm-to-school policy advocacy
6e17514da0426f2f26264a03e5548f30	D	-	post-harvest equipment grant
356c4f902e080c5accdb7a665bbfd61d	D	-	agri finance capacity building
602f926ca2a69a68f5148676e224aa10	K	T1	pork supply and price outlook amid ASF
76d6ba9b14fc50547fe50493a51c8063	K	T1b	new ASF-affected areas logged
ae9359aa401752c0a0110607a4f4c29c	K	T1b	P9M tilapia and bangus fish kill
06f54aaefd8ddcd119bc9d5e09e3b418	K	T6	heat costs farmers P83M
f736bb4c6135efdfed279b25dcc03e40	K	T1b	province under calamity due to ASF
1df3aa28774282e69347346f99640e0a	K	T6	ashfall ruins kapeng barako
1cc4d8ab64003d5a05ee99abe7dd399f	K	T3	food packs donated to Taal victims
fe1d41eae2054046857283ecbb32fa22	K	T6	coffee farms worst hit by ashfall
0642be36bac8fbdab2f422609cd37186	D	-	aquaculture technology adoption
5899cce2084e9294bb93204c242317f1	K	T1b	343 MT fish kill in Taal Lake
2d3bbcac9494e5ef73d077059e3d21e7	K	T4	displaced farmers after sugar firm closure
d12c19a66c477f260237346d381e587f	K	T4	fishers fear livelihood loss from closed season
ec1bc6328af799c729d2b2d1108b2f73	K	T1b	ASF vaccination strategy
892419857746c8c7ede06d00147b0c67	K	T1b	ASF vaccine trial
60b55948fdca58f344b43db77083d40c	K	T1b	safety of Taal Lake fish
68c85e2ac8be368992e1af0c8695daa4	K	T7	residents evacuate from flood and landslides
e3233b29c268c43195c5082e084f086c	K	T1b	parts of province free from ASF
cfea39432da184b5328d88e52e4a43c5	D	-	farm modernisation, capacity building
7355d9e76d6c08fb0bd79e65f5f572be	D	-	wildlife attack incident
1c949fee3a3578b5461756460c2bda16	D	-	corporate investment approval
f8be4bbd1f9825a4a65b16d4df58487b	K	T4	livestock farmers and fish breeders struggling
a2f068ddfffa6ecb47b9b6064adbe075	D	-	corporate plant investment announcement
4234b1ab21c9503d2c82c10f3707f703	K	T3	rice-for-work beach cleanup
f5a1fa6ed9e03fd00bc1553682e162b5	K	T1b	aquaculture feeding resumes in Taal
e4a0e2e1b8ed9b09626ed526825eccec	K	T1b	emergency ASF vaccine purchase
f6057d9f3dfee1976752ac35d356ffbc	K	T1b	ASF vaccine procurement
8ab1203a49da4041c4ac6b54d26974f1	K	T1b	P3M tilapia lost to fish kill
52170671f72434c9cadeb6dd68c3a201	D	-	fish port governance review
8cba0929852634e4fd881f42aa56fb4e	K	T6	farmland dispossession dispute
af75a42603daa634703910af499a08f6	K	T2	473 undernourished children in feeding programme
eb3b09adef264badc983eef3d687ee40	D	-	road accident
405348d5132f180c6efb7fb2af328203	K	T6	P578M agriculture damage
c4404af26f56b6bd73dbeb3dc5c788cb	K	T7	Cavite calamity from Taal eruption
c8cd762f8310a3506111d9ea32358362	K	T1b	fishers seek probe into factory threatening fishing grounds
dd6a4fa535e6991de496ea7451e28e10	K	T4	disinformation threatens fisherfolk livelihood
ebfd826d8aeb6b53f2ea131b3c7c8ef9	D	-	fraud arrest
d51c693c14df833334f080b90481514d	K	T1b	evacuation linked to swine virus spread
c79bb08fa00628d6e1ca50cdbd268205	K	T4	Amadeo coffee farmers coping with industry struggle
e271b06aab83c552f266e39bb596ea23	D	-	water utility supply projects
1d7bfcc0bfcc991f9ccfdfbdcb8d7f93	D	-	national customs operation, geo tie unverifiable
5b97262cedfd05fb2491eebfc8496e22	D	-	disaster-science commentary
CBMinwFBVV95cUxOOWdvVVJaYUpWaVE0b0pRY0JTMDRMOEhPVGlxRkJaOVo1dExUbzg4ams4aVhsUHJ5ZGdpT3dkY2hwZDJpbmJmeXBsQnBZVmtldWZvTzZSdzZLVFV3WDJGSU5KRERIWm5JWklLMHdGQVJCWVF4MHE1Y3dUbVRWd25xOTNkNllQc05JalNXTVBOUEd5ak1hTWswSmF2ZS1QbW8	K	T3	P20 rice programme launch in Bacoor
8b5afdc49326947687141d5ef43bbc2a	K	T1b	reclamation blamed for dwindling tahong harvests
